user_id,num_books_rated,gutenberg_ids,goodreads_book_keys,ratings
142,10,1113;158;161;2500;1661;18881;66057;12702;120;599,"a midsummer nights dream||shakespeare, william;emma||austen, jane;sense and sensibility||austen, jane;siddhartha||hesse, hermann;the adventures of sherlock holmes||doyle, arthur conan;the idiot||bangs, john kendrick;the tale of genji||murasaki shikibu;the tale of peter rabbit||potter, beatrix;treasure island||stevenson, robert louis;vanity fair||thackeray, william makepeace",4.0;4.0;2.0;4.0;5.0;3.0;4.0;4.0;4.0;4.333333333333333
161,33,9696;61221;767;1895;35508;778;2891;8387;2226;135;141;51713;1118;1438;1127;1112;161;36710;28054;3536;1622;6688;174;1874;33;18768;67138;66057;70361;1134;583;74458;768,"a christmas carol||dickens, charles;a passage to india||forster, e. m. (edward morgan);agnes grey||brontã«, anne;armadale||collins, wilkie;benjamin franklin||franklin, benjamin;five children and it||nesbit, e. (edith);howards end||forster, e. m. (edward morgan);hunger||hamsun, knut;kim||kipling, rudyard;les misrables||hugo, victor;mansfield park||austen, jane;metamorphosis||de vet, charles v.;much ado about nothing||shakespeare, william;no name||collins, wilkie;othello||shakespeare, william;romeo and juliet||shakespeare, william;sense and sensibility||austen, jane;the black opal||prichard, katharine susannah;the brothers karamazov||dostoyevsky, fyodor;the enchanted castle||nesbit, e. (edith);the law and the lady||collins, wilkie;the mill on the floss||eliot, george;the picture of dorian gray||wilde, oscar;the railway children||nesbit, e. (edith);the scarlet letter||hawthorne, nathaniel;the sky is falling||del rey, lester;the sun also rises||hemingway, ernest;the tale of genji||murasaki shikibu;the terror||coppel, alfred;the winters tale||shakespeare, william;the woman in white||collins, wilkie;victoria||hamsun, knut;wuthering heights||brontã«, emily",4.0;3.6666666666666665;3.0;1.0;3.0;5.0;1.0;5.0;5.0;3.0;4.4;3.0;5.0;3.0;5.0;4.0;3.0;5.0;5.0;5.0;5.0;5.0;4.0;5.0;4.0;5.0;5.0;4.0;5.0;3.0;3.0;4.0;4.0
167,8,1113;10523;1118;5618;14252;61429;1565;41545,"a midsummer nights dream||shakespeare, william;alcestis||euripides;much ado about nothing||shakespeare, william;six plays||darwin, florence henrietta fisher;the age of shakespeare||swinburne, algernon charles;the heart of a dog||terhune, albert payson;the last days of pompeii||lytton, edward bulwer lytton;the orange girl||besant, walter",1.0;3.0;2.0;3.0;3.0;3.0;4.0;3.0
184,8,10523;2554;28215;28054;696;65839;120;1123,"alcestis||euripides;crime and punishment||dostoyevsky, fyodor;empire||simak, clifford d.;the brothers karamazov||dostoyevsky, fyodor;the castle of otranto||walpole, horace;the stranger||dickson, gordon r.;treasure island||stevenson, robert louis;twelfth night||shakespeare, william",5.0;5.0;5.0;4.5;4.0;5.0;3.0;5.0
226,9,2554;75781;158;1120;1661;65568;9182;2948;768,"crime and punishment||dostoyevsky, fyodor;east of eden||glenn, isa;emma||austen, jane;julius caesar||shakespeare, william;the adventures of sherlock holmes||doyle, arthur conan;the runaway bunny||smith, laura rountree;villette||brontã«, charlotte;where angels fear to tread||forster, e. m. (edward morgan);wuthering heights||brontã«, emily",4.5;4.0;5.0;5.0;2.0;4.0;5.0;3.0;3.0
270,8,10523;45;778;1122;161;3536;67138;120,"alcestis||euripides;anne of green gables||montgomery, l. m. (lucy maud);five children and it||nesbit, e. (edith);hamlet||shakespeare, william;sense and sensibility||austen, jane;the enchanted castle||nesbit, e. (edith);the sun also rises||hemingway, ernest;treasure island||stevenson, robert louis",5.0;4.0;4.0;5.0;3.0;4.0;4.0;4.0
273,10,1399;1121;821;345;26122;3825;8668;76411;78502;120,"anna karenina||tolstoy, leo;as you like it||shakespeare, william;dombey and son||dickens, charles;dracula||stoker, bram;five little peppers at school||sidney, margaret;pygmalion||shaw, bernard;revenge||barr, robert;the last dragon||totheroh, dan;toxin||ouida;treasure island||stevenson, robert louis",4.0;4.0;3.0;3.0;5.0;2.0;5.0;4.0;4.0;3.0
281,9,98;158;7700;2571;28054;35607;66057;12702;6362,"a tale of two cities||dickens, charles;emma||austen, jane;lysistrata||aristophanes;peace||aristophanes;the brothers karamazov||dostoyevsky, fyodor;the spell||orcutt, william dana;the tale of genji||murasaki shikibu;the tale of peter rabbit||potter, beatrix;three soldiers||dos passos, john",4.0;4.0;1.0;1.0;3.0;4.0;5.0;5.0;5.0
308,10,10007;963;78220;24785;1127;161;14252;64317;73233;67138,"carmilla||le fanu, joseph sheridan;little dorrit||dickens, charles;murder at the vicarage||christie, agatha;nero||phillips, stephen;othello||shakespeare, william;sense and sensibility||austen, jane;the age of shakespeare||swinburne, algernon charles;the great gatsby||fitzgerald, f. scott (francis scott);the haunter of the dark||lovecraft, h. p. (howard phillips);the sun also rises||hemingway, ernest",2.0;4.0;5.0;4.0;5.0;5.0;5.0;4.0;5.0;5.0
309,10,8809;1399;821;1120;2413;73188;70440;120;1123;4300,"aesops fables||aesop;anna karenina||tolstoy, leo;dombey and son||dickens, charles;julius caesar||shakespeare, william;madame bovary||flaubert, gustave;possession||bromfield, louis;the awakening||bordeaux, henry;treasure island||stevenson, robert louis;twelfth night||shakespeare, william;ulysses||joyce, james",2.0;3.0;3.0;4.0;4.0;3.0;2.0;4.0;4.0;4.0
310,14,345;1120;68061;7700;2571;1342;161;696;65298;75170;66057;1135;1106;4300,"dracula||stoker, bram;julius caesar||shakespeare, william;ludinthemist||mirrlees, hope;lysistrata||aristophanes;peace||aristophanes;pride and prejudice||austen, jane;sense and sensibility||austen, jane;the castle of otranto||walpole, horace;the gift||sturgis, melvin;the sound and the fury||faulkner, william;the tale of genji||murasaki shikibu;the tempest||shakespeare, william;titus andronicus||shakespeare, william;ulysses||joyce, james",3.0;4.0;3.0;3.0;2.0;4.0;5.0;4.0;4.0;2.0;4.0;5.0;3.0;3.0
319,14,146;1113;1856;7469;65282;1120;7700;2571;51081;60303;66057;1123;3795;31547,"a little princess||burnett, frances hodgson;a midsummer nights dream||shakespeare, william;cousin pons||balzac, honorã© de;daniel deronda||eliot, george;double identity||farrell, henry;julius caesar||shakespeare, william;lysistrata||aristophanes;peace||aristophanes;the amateurs||cogan, alan;the bridge||revelle, g. g.;the tale of genji||murasaki shikibu;twelfth night||shakespeare, william;under the lilacs||alcott, louisa may;youth||asimov, isaac",3.0;3.0;3.0;3.0;4.0;2.0;3.0;4.0;4.0;4.0;2.0;3.0;5.0;4.0
321,10,98;1121;10007;1856;2726;141;1118;105;1636;1079,"a tale of two cities||dickens, charles;as you like it||shakespeare, william;carmilla||le fanu, joseph sheridan;cousin pons||balzac, honorã© de;eight cousins||alcott, louisa may;mansfield park||austen, jane;much ado about nothing||shakespeare, william;persuasion||austen, jane;phaedrus||plato;the life and opinions of tristram shandy gentleman||sterne, laurence",5.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;4.0;4.0
349,12,10523;12704;1856;1110;5658;73308;1342;161;49035;1104;1107;775,"alcestis||euripides;briar rose||grimm, jacob;cousin pons||balzac, honorã© de;king john||shakespeare, william;lord jim||conrad, joseph;love||von arnim, elizabeth;pride and prejudice||austen, jane;sense and sensibility||austen, jane;the changeling||besant, walter;the comedy of errors||shakespeare, william;the taming of the shrew||shakespeare, william;when the sleeper wakes||wells, h. g. (herbert george)",5.0;4.0;4.0;5.0;5.0;4.0;5.0;5.0;4.0;3.0;3.0;4.0
364,10,7469;158;28215;1122;28054;696;75170;6362;120;768,"daniel deronda||eliot, george;emma||austen, jane;empire||simak, clifford d.;hamlet||shakespeare, william;the brothers karamazov||dostoyevsky, fyodor;the castle of otranto||walpole, horace;the sound and the fury||faulkner, william;three soldiers||dos passos, john;treasure island||stevenson, robert louis;wuthering heights||brontã«, emily",3.0;3.0;5.0;4.0;4.0;3.0;3.0;5.0;4.0;4.0
391,11,1399;1023;2554;1122;23077;64015;1342;696;26298;6362;120,"anna karenina||tolstoy, leo;bleak house||dickens, charles;crime and punishment||dostoyevsky, fyodor;hamlet||shakespeare, william;jane eyre||brontã«, charlotte;last call||walton, bryce;pride and prejudice||austen, jane;the castle of otranto||walpole, horace;the metamorphosis||kafka, franz;three soldiers||dos passos, john;treasure island||stevenson, robert louis",4.0;4.0;3.0;5.0;4.0;3.0;3.0;4.0;4.0;5.0;4.0
405,10,1113;98;158;514;38251;155;66057;70361;599;768,"a midsummer nights dream||shakespeare, william;a tale of two cities||dickens, charles;emma||austen, jane;little women||alcott, louisa may;oscar wilde||thorne, guy;the moonstone||collins, wilkie;the tale of genji||murasaki shikibu;the terror||coppel, alfred;vanity fair||thackeray, william makepeace;wuthering heights||brontã«, emily",4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
410,9,1626;38489;7700;71865;1118;2571;69768;6362;120,"after dark||collins, wilkie;gargoyles||hecht, ben;lysistrata||aristophanes;mrs dalloway||woolf, virginia;much ado about nothing||shakespeare, william;peace||aristophanes;the bridge of san luis rey||wilder, thornton;three soldiers||dos passos, john;treasure island||stevenson, robert louis",1.0;4.0;3.0;5.0;5.0;2.0;5.0;5.0;5.0
415,9,1399;2450;514;23053;28700;9687;11052;964;583,"anna karenina||tolstoy, leo;boyhood||tolstoy, leo;little women||alcott, louisa may;night of the living dead||romero, george a.;robin hood||creswick, paul;robinson crusoe||defoe, daniel;the custom of the country||wharton, edith;the merry adventures of robin hood||pyle, howard;the woman in white||collins, wilkie",4.0;3.0;4.0;3.0;4.333333333333333;3.0;4.0;3.0;3.0
427,19,1113;1399;75781;158;4517;5658;543;9687;70440;1603;28054;18881;113;66057;70361;46119;289;599;768,"a midsummer nights dream||shakespeare, william;anna karenina||tolstoy, leo;east of eden||glenn, isa;emma||austen, jane;ethan frome||wharton, edith;lord jim||conrad, joseph;main street||lewis, sinclair;robinson crusoe||defoe, daniel;the awakening||bordeaux, henry;the blue flower||van dyke, henry;the brothers karamazov||dostoyevsky, fyodor;the idiot||bangs, john kendrick;the secret garden||burnett, frances hodgson;the tale of genji||murasaki shikibu;the terror||coppel, alfred;the valkyries||benson, e. f. (edward frederic);the wind in the willows||grahame, kenneth;vanity fair||thackeray, william makepeace;wuthering heights||brontã«, emily",4.0;5.0;4.0;4.0;4.0;5.0;3.0;4.0;3.0;4.0;5.0;5.0;4.0;4.0;5.0;4.0;4.0;4.5;4.0
469,9,4217;75491;8147;155;174;1497;70361;1134;768,"a portrait of the artist as a young man||joyce, james;giants in the earth||rã¸lvaag, o. e. (ole edvart);the man who would be king||kipling, rudyard;the moonstone||collins, wilkie;the picture of dorian gray||wilde, oscar;the republic||plato;the terror||coppel, alfred;the winters tale||shakespeare, william;wuthering heights||brontã«, emily",4.0;5.0;4.0;5.0;5.0;4.0;5.0;5.0;5.0
475,10,1399;76513;1254;158;5658;543;161;583;599;768,"anna karenina||tolstoy, leo;billy budd||melville, herman;cyrano de bergerac||rostand, edmond;emma||austen, jane;lord jim||conrad, joseph;main street||lewis, sinclair;sense and sensibility||austen, jane;the woman in white||collins, wilkie;vanity fair||thackeray, william makepeace;wuthering heights||brontã«, emily",3.5;4.0;3.5;4.0;5.0;4.0;4.0;3.0;4.0;4.5
492,10,10523;158;22030;7517;2852;96;1837;120;1123;768,"alcestis||euripides;emma||austen, jane;memoirs||leland, charles godfrey;sanctuary||wharton, edith;the hound of the baskervilles||doyle, arthur conan;the monster men||burroughs, edgar rice;the prince and the pauper||twain, mark;treasure island||stevenson, robert louis;twelfth night||shakespeare, william;wuthering heights||brontã«, emily",4.0;5.0;3.0;5.0;4.0;1.0;3.0;4.0;4.0;3.0
495,11,1113;10523;1103;1118;1342;59345;573;18881;56447;120;1123,"a midsummer nights dream||shakespeare, william;alcestis||euripides;king richard iii||shakespeare, william;much ado about nothing||shakespeare, william;pride and prejudice||austen, jane;slow burn||still, henry;tales from shakespeare||lamb, charles;the idiot||bangs, john kendrick;the tunnel||richardson, dorothy m. (dorothy miller);treasure island||stevenson, robert louis;twelfth night||shakespeare, william",5.0;5.0;4.0;5.0;5.0;2.0;5.0;4.5;5.0;3.0;5.0
501,12,1113;8387;70476;7700;51713;1127;2571;155;30062;67138;56447;209,"a midsummer nights dream||shakespeare, william;hunger||hamsun, knut;india||southworth, emma dorothy eliza nevitte;lysistrata||aristophanes;metamorphosis||de vet, charles v.;othello||shakespeare, william;peace||aristophanes;the moonstone||collins, wilkie;the plague||keller, teddy;the sun also rises||hemingway, ernest;the tunnel||richardson, dorothy m. (dorothy miller);the turn of the screw||james, henry",5.0;5.0;4.0;5.0;5.0;5.0;5.0;4.0;4.0;5.0;5.0;5.0
506,10,1399;1127;1342;1603;28054;18881;66057;70361;599;768,"anna karenina||tolstoy, leo;othello||shakespeare, william;pride and prejudice||austen, jane;the blue flower||van dyke, henry;the brothers karamazov||dostoyevsky, fyodor;the idiot||bangs, john kendrick;the tale of genji||murasaki shikibu;the terror||coppel, alfred;vanity fair||thackeray, william makepeace;wuthering heights||brontã«, emily",4.0;4.0;4.333333333333333;4.0;4.0;5.0;4.0;4.0;4.0;4.0
508,10,1399;158;2891;8387;51713;1127;105;174;67138;74458,"anna karenina||tolstoy, leo;emma||austen, jane;howards end||forster, e. m. (edward morgan);hunger||hamsun, knut;metamorphosis||de vet, charles v.;othello||shakespeare, william;persuasion||austen, jane;the picture of dorian gray||wilde, oscar;the sun also rises||hemingway, ernest;victoria||hamsun, knut",4.0;5.0;4.0;4.0;4.0;4.0;5.0;4.0;3.0;3.0
512,19,1113;1399;7469;158;1120;121;105;28054;696;3268;67138;66057;70361;289;1123;599;9182;2948;768,"a midsummer nights dream||shakespeare, william;anna karenina||tolstoy, leo;daniel deronda||eliot, george;emma||austen, jane;julius caesar||shakespeare, william;northanger abbey||austen, jane;persuasion||austen, jane;the brothers karamazov||dostoyevsky, fyodor;the castle of otranto||walpole, horace;the mysteries of udolpho||radcliffe, ann ward;the sun also rises||hemingway, ernest;the tale of genji||murasaki shikibu;the terror||coppel, alfred;the wind in the willows||grahame, kenneth;twelfth night||shakespeare, william;vanity fair||thackeray, william makepeace;villette||brontã«, charlotte;where angels fear to tread||forster, e. m. (edward morgan);wuthering heights||brontã«, emily",3.0;3.0;4.0;4.0;4.0;3.0;5.0;4.0;3.0;2.0;3.0;3.0;3.0;4.0;4.0;3.0;4.0;3.0;4.5
577,10,1113;98;7700;51050;1118;2571;696;66057;209;120,"a midsummer nights dream||shakespeare, william;a tale of two cities||dickens, charles;lysistrata||aristophanes;mans best friend||smith, evelyn e.;much ado about nothing||shakespeare, william;peace||aristophanes;the castle of otranto||walpole, horace;the tale of genji||murasaki shikibu;the turn of the screw||james, henry;treasure island||stevenson, robert louis",4.0;5.0;4.0;5.0;4.0;4.0;1.0;3.0;4.0;4.0
586,9,1113;158;7700;1118;2571;28054;57006;66057;120,"a midsummer nights dream||shakespeare, william;emma||austen, jane;lysistrata||aristophanes;much ado about nothing||shakespeare, william;peace||aristophanes;the brothers karamazov||dostoyevsky, fyodor;the freaks of mayfair||benson, e. f. (edward frederic);the tale of genji||murasaki shikibu;treasure island||stevenson, robert louis",3.0;4.0;2.0;3.0;2.0;4.0;2.0;2.0;3.0
593,9,1399;8387;2226;51713;1127;18881;67138;1123;74458,"anna karenina||tolstoy, leo;hunger||hamsun, knut;kim||kipling, rudyard;metamorphosis||de vet, charles v.;othello||shakespeare, william;the idiot||bangs, john kendrick;the sun also rises||hemingway, ernest;twelfth night||shakespeare, william;victoria||hamsun, knut",4.0;3.0;4.0;3.0;4.0;4.0;4.0;4.0;3.0
599,23,68229;1399;1400;1103;9685;63990;1342;9687;76323;1753;28054;64317;2852;18881;175;174;8117;33;66057;70361;1257;289;768,"all the sad young men||fitzgerald, f. scott (francis scott);anna karenina||tolstoy, leo;great expectations||dickens, charles;king richard iii||shakespeare, william;moll flanders||defoe, daniel;palimpsest||aycock, roger d.;pride and prejudice||austen, jane;robinson crusoe||defoe, daniel;saint joan||shaw, bernard;swan song||chekhov, anton pavlovich;the brothers karamazov||dostoyevsky, fyodor;the great gatsby||fitzgerald, f. scott (francis scott);the hound of the baskervilles||doyle, arthur conan;the idiot||bangs, john kendrick;the phantom of the opera||leroux, gaston;the picture of dorian gray||wilde, oscar;the possessed||dostoyevsky, fyodor;the scarlet letter||hawthorne, nathaniel;the tale of genji||murasaki shikibu;the terror||coppel, alfred;the three musketeers||dumas, alexandre;the wind in the willows||grahame, kenneth;wuthering heights||brontã«, emily",4.0;5.0;4.0;4.0;4.0;5.0;4.0;3.5;4.0;3.0;5.0;4.0;5.0;4.0;3.5;4.0;3.0;4.0;4.0;5.0;5.0;5.0;4.0
605,14,15492;19967;2554;1120;946;71853;28203;105;5267;28054;2775;28948;6362;1123,"a dolls house||ibsen, henrik;beauty and the beast||anonymous;crime and punishment||dostoyevsky, fyodor;julius caesar||shakespeare, william;lady susan||austen, jane;manhattan transfer||dos passos, john;moods||alcott, louisa may;persuasion||austen, jane;sister carrie||dreiser, theodore;the brothers karamazov||dostoyevsky, fyodor;the good soldier||ford, ford madox;the rainbow||lawrence, d. h. (david herbert);three soldiers||dos passos, john;twelfth night||shakespeare, william",4.0;3.0;5.0;3.0;2.0;3.0;3.0;4.0;3.0;3.0;4.0;4.0;5.0;3.0
630,10,1113;98;10523;1399;2413;28054;696;18881;65839;120,"a midsummer nights dream||shakespeare, william;a tale of two cities||dickens, charles;alcestis||euripides;anna karenina||tolstoy, leo;madame bovary||flaubert, gustave;the brothers karamazov||dostoyevsky, fyodor;the castle of otranto||walpole, horace;the idiot||bangs, john kendrick;the stranger||dickson, gordon r.;treasure island||stevenson, robert louis",4.0;4.0;4.0;4.0;4.0;4.0;2.0;4.0;4.0;3.0
648,15,98;1121;345;27;1672;135;1533;1118;696;76411;66057;12702;35;120;1123,"a tale of two cities||dickens, charles;as you like it||shakespeare, william;dracula||stoker, bram;far from the madding crowd||hardy, thomas;gorgias||plato;les misrables||hugo, victor;macbeth||shakespeare, william;much ado about nothing||shakespeare, william;the castle of otranto||walpole, horace;the last dragon||totheroh, dan;the tale of genji||murasaki shikibu;the tale of peter rabbit||potter, beatrix;the time machine||wells, h. g. (herbert george);treasure island||stevenson, robert louis;twelfth night||shakespeare, william",3.0;2.0;2.5;3.0;3.0;3.0;2.0;2.0;2.0;1.0;3.0;2.0;2.0;2.0;4.0
659,8,98;10523;84;6542;105;1661;696;583,"a tale of two cities||dickens, charles;alcestis||euripides;frankenstein or the modern prometheus||shelley, mary wollstonecraft;frankenstein||shelley, mary wollstonecraft;persuasion||austen, jane;the adventures of sherlock holmes||doyle, arthur conan;the castle of otranto||walpole, horace;the woman in white||collins, wilkie",4.0;3.0;3.0;3.5;5.0;3.0;3.0;3.0
678,10,1399;23077;5658;1342;9687;70440;18881;21171;42;66057,"anna karenina||tolstoy, leo;jane eyre||brontã«, charlotte;lord jim||conrad, joseph;pride and prejudice||austen, jane;robinson crusoe||defoe, daniel;the awakening||bordeaux, henry;the idiot||bangs, john kendrick;the pilgrims progress||bunyan, john;the strange case of dr jekyll and mr hyde||stevenson, robert louis;the tale of genji||murasaki shikibu",5.0;5.0;4.0;5.0;5.0;4.0;5.0;5.0;4.0;4.0
683,11,10007;2554;1122;29676;73308;1342;696;1107;6362;120;4300,"carmilla||le fanu, joseph sheridan;crime and punishment||dostoyevsky, fyodor;hamlet||shakespeare, william;identity||blade, zoã«;love||von arnim, elizabeth;pride and prejudice||austen, jane;the castle of otranto||walpole, horace;the taming of the shrew||shakespeare, william;three soldiers||dos passos, john;treasure island||stevenson, robert louis;ulysses||joyce, james",4.0;3.0;5.0;5.0;4.0;4.0;3.0;4.0;4.0;4.0;5.0
697,8,11;28215;1120;73188;29908;28054;65839;1123,"alices adventures in wonderland||carroll, lewis;empire||simak, clifford d.;julius caesar||shakespeare, william;possession||bromfield, louis;the adventurer||kornbluth, c. m. (cyril m.);the brothers karamazov||dostoyevsky, fyodor;the stranger||dickson, gordon r.;twelfth night||shakespeare, william",4.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0
746,11,10523;766;47935;1342;1601;696;1104;2785;5231;6362;120,"alcestis||euripides;david copperfield||dickens, charles;fathers and sons||turgenev, ivan sergeevich;pride and prejudice||austen, jane;the breaking point||rinehart, mary roberts;the castle of otranto||walpole, horace;the comedy of errors||shakespeare, william;the elusive pimpernel||orczy, emmuska orczy;the way we live now||trollope, anthony;three soldiers||dos passos, john;treasure island||stevenson, robert louis",4.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;5.0
748,8,98;1856;28054;46185;57006;65465;66057;120,"a tale of two cities||dickens, charles;cousin pons||balzac, honorã© de;the brothers karamazov||dostoyevsky, fyodor;the devil||molnã¡r, ferenc;the freaks of mayfair||benson, e. f. (edward frederic);the professors house||cather, willa;the tale of genji||murasaki shikibu;treasure island||stevenson, robert louis",2.0;4.0;4.0;3.0;4.0;3.0;2.0;4.0
753,8,376;10523;71865;1118;17780;696;2852;120,"a journal of the plague year||defoe, daniel;alcestis||euripides;mrs dalloway||woolf, virginia;much ado about nothing||shakespeare, william;scenes of clerical life||eliot, george;the castle of otranto||walpole, horace;the hound of the baskervilles||doyle, arthur conan;treasure island||stevenson, robert louis",4.0;3.0;3.0;5.0;1.0;1.0;4.0;3.0
761,8,1113;7700;2571;215;49035;175;66057;78502,"a midsummer nights dream||shakespeare, william;lysistrata||aristophanes;peace||aristophanes;the call of the wild||london, jack;the changeling||besant, walter;the phantom of the opera||leroux, gaston;the tale of genji||murasaki shikibu;toxin||ouida",3.0;3.0;3.0;3.0;5.0;3.0;4.0;4.0
780,14,27;29487;1672;2226;7700;22030;2571;49035;69050;66057;209;120;599;65207,"far from the madding crowd||hardy, thomas;forever||sheckley, robert;gorgias||plato;kim||kipling, rudyard;lysistrata||aristophanes;memoirs||leland, charles godfrey;peace||aristophanes;the changeling||besant, walter;the coming||snaith, j. c. (john collis);the tale of genji||murasaki shikibu;the turn of the screw||james, henry;treasure island||stevenson, robert louis;vanity fair||thackeray, william makepeace;women||tarkington, booth",4.0;4.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;4.0;3.0;3.0;4.0;3.0
