user_id,book_titles,authors,num_books_rated,ratings,book_paths,is_aligned,num_missing_files,missing_files
161,a christmas carol;a passage to india;agnes grey;armadale;benjamin franklin;five children and it;howards end;hunger;kim;les misrables;mansfield park;metamorphosis;much ado about nothing;no name;othello;romeo and juliet;sense and sensibility;the black opal;the brothers karamazov;the enchanted castle;the law and the lady;the mill on the floss;the picture of dorian gray;the railway children;the scarlet letter;the sky is falling;the sun also rises;the tale of genji;the terror;the winters tale;the woman in white;victoria;wuthering heights,"dickens, charles;forster, e. m. (edward morgan);brontã«, anne;collins, wilkie;franklin, benjamin;nesbit, e. (edith);forster, e. m. (edward morgan);hamsun, knut;kipling, rudyard;hugo, victor;austen, jane;de vet, charles v.;shakespeare, william;collins, wilkie;shakespeare, william;shakespeare, william;austen, jane;prichard, katharine susannah;dostoyevsky, fyodor;nesbit, e. (edith);collins, wilkie;eliot, george;wilde, oscar;nesbit, e. (edith);hawthorne, nathaniel;del rey, lester;hemingway, ernest;murasaki shikibu;coppel, alfred;shakespeare, william;collins, wilkie;hamsun, knut;brontã«, emily",33,4.0;3.6666666666666665;3.0;1.0;3.0;5.0;1.0;5.0;5.0;3.0;4.4;3.0;5.0;3.0;5.0;4.0;3.0;5.0;5.0;5.0;5.0;5.0;4.0;5.0;4.0;5.0;5.0;4.0;5.0;3.0;3.0;4.0;4.0,book_texts/9696.txt;book_texts/61221.txt;book_texts/767.txt;book_texts/1895.txt;book_texts/35508.txt;book_texts/778.txt;book_texts/2891.txt;book_texts/8387.txt;book_texts/2226.txt;book_texts/135.txt;book_texts/141.txt;book_texts/51713.txt;book_texts/1118.txt;book_texts/1438.txt;book_texts/1127.txt;book_texts/1112.txt;book_texts/161.txt;book_texts/36710.txt;book_texts/28054.txt;book_texts/3536.txt;book_texts/1622.txt;book_texts/6688.txt;book_texts/174.txt;book_texts/1874.txt;book_texts/33.txt;book_texts/18768.txt;book_texts/67138.txt;book_texts/66057.txt;book_texts/70361.txt;book_texts/1134.txt;book_texts/583.txt;book_texts/74458.txt;book_texts/768.txt,True,0,
167,a midsummer nights dream;alcestis;much ado about nothing;six plays;the age of shakespeare;the heart of a dog;the last days of pompeii;the orange girl,"shakespeare, william;euripides;shakespeare, william;darwin, florence henrietta fisher;swinburne, algernon charles;terhune, albert payson;lytton, edward bulwer lytton;besant, walter",8,1.0;3.0;2.0;3.0;3.0;3.0;4.0;3.0,book_texts/1113.txt;book_texts/10523.txt;book_texts/1118.txt;book_texts/5618.txt;book_texts/14252.txt;book_texts/61429.txt;book_texts/1565.txt;book_texts/41545.txt,True,0,
184,alcestis;crime and punishment;empire;the brothers karamazov;the castle of otranto;the stranger;treasure island;twelfth night,"euripides;dostoyevsky, fyodor;simak, clifford d.;dostoyevsky, fyodor;walpole, horace;dickson, gordon r.;stevenson, robert louis;shakespeare, william",8,5.0;5.0;5.0;4.5;4.0;5.0;3.0;5.0,book_texts/10523.txt;book_texts/2554.txt;book_texts/28215.txt;book_texts/28054.txt;book_texts/696.txt;book_texts/65839.txt;book_texts/120.txt;book_texts/1123.txt,True,0,
226,crime and punishment;east of eden;emma;julius caesar;the adventures of sherlock holmes;the runaway bunny;villette;where angels fear to tread;wuthering heights,"dostoyevsky, fyodor;glenn, isa;austen, jane;shakespeare, william;doyle, arthur conan;smith, laura rountree;brontã«, charlotte;forster, e. m. (edward morgan);brontã«, emily",9,4.5;4.0;5.0;5.0;2.0;4.0;5.0;3.0;3.0,book_texts/2554.txt;book_texts/75781.txt;book_texts/158.txt;book_texts/1120.txt;book_texts/1661.txt;book_texts/65568.txt;book_texts/9182.txt;book_texts/2948.txt;book_texts/768.txt,True,0,
270,alcestis;anne of green gables;five children and it;hamlet;sense and sensibility;the enchanted castle;the sun also rises;treasure island,"euripides;montgomery, l. m. (lucy maud);nesbit, e. (edith);shakespeare, william;austen, jane;nesbit, e. (edith);hemingway, ernest;stevenson, robert louis",8,5.0;4.0;4.0;5.0;3.0;4.0;4.0;4.0,book_texts/10523.txt;book_texts/45.txt;book_texts/778.txt;book_texts/1122.txt;book_texts/161.txt;book_texts/3536.txt;book_texts/67138.txt;book_texts/120.txt,True,0,
273,anna karenina;as you like it;dombey and son;dracula;five little peppers at school;pygmalion;revenge;the last dragon;toxin;treasure island,"tolstoy, leo;shakespeare, william;dickens, charles;stoker, bram;sidney, margaret;shaw, bernard;barr, robert;totheroh, dan;ouida;stevenson, robert louis",10,4.0;4.0;3.0;3.0;5.0;2.0;5.0;4.0;4.0;3.0,book_texts/1399.txt;book_texts/1121.txt;book_texts/821.txt;book_texts/345.txt;book_texts/26122.txt;book_texts/3825.txt;book_texts/8668.txt;book_texts/76411.txt;book_texts/78502.txt;book_texts/120.txt,True,0,
281,a tale of two cities;emma;lysistrata;peace;the brothers karamazov;the spell;the tale of genji;three soldiers,"dickens, charles;austen, jane;aristophanes;aristophanes;dostoyevsky, fyodor;orcutt, william dana;murasaki shikibu;dos passos, john",8,4.0;4.0;1.0;1.0;3.0;4.0;5.0;5.0,book_texts/98.txt;book_texts/158.txt;book_texts/7700.txt;book_texts/2571.txt;book_texts/28054.txt;book_texts/35607.txt;book_texts/66057.txt;book_texts/6362.txt,True,0,
308,carmilla;little dorrit;murder at the vicarage;nero;othello;sense and sensibility;the age of shakespeare;the great gatsby;the haunter of the dark;the sun also rises,"le fanu, joseph sheridan;dickens, charles;christie, agatha;phillips, stephen;shakespeare, william;austen, jane;swinburne, algernon charles;fitzgerald, f. scott (francis scott);lovecraft, h. p. (howard phillips);hemingway, ernest",10,2.0;4.0;5.0;4.0;5.0;5.0;5.0;4.0;5.0;5.0,book_texts/10007.txt;book_texts/963.txt;book_texts/78220.txt;book_texts/24785.txt;book_texts/1127.txt;book_texts/161.txt;book_texts/14252.txt;book_texts/64317.txt;book_texts/73233.txt;book_texts/67138.txt,True,0,
309,anna karenina;dombey and son;julius caesar;madame bovary;possession;the awakening;treasure island;twelfth night;ulysses,"tolstoy, leo;dickens, charles;shakespeare, william;flaubert, gustave;bromfield, louis;bordeaux, henry;stevenson, robert louis;shakespeare, william;joyce, james",9,3.0;3.0;4.0;4.0;3.0;2.0;4.0;4.0;4.0,book_texts/1399.txt;book_texts/821.txt;book_texts/1120.txt;book_texts/2413.txt;book_texts/73188.txt;book_texts/70440.txt;book_texts/120.txt;book_texts/1123.txt;book_texts/4300.txt,True,0,
310,dracula;julius caesar;ludinthemist;lysistrata;peace;pride and prejudice;sense and sensibility;the castle of otranto;the gift;the sound and the fury;the tale of genji;the tempest;titus andronicus;ulysses,"stoker, bram;shakespeare, william;mirrlees, hope;aristophanes;aristophanes;austen, jane;austen, jane;walpole, horace;sturgis, melvin;faulkner, william;murasaki shikibu;shakespeare, william;shakespeare, william;joyce, james",14,3.0;4.0;3.0;3.0;2.0;4.0;5.0;4.0;4.0;2.0;4.0;5.0;3.0;3.0,book_texts/345.txt;book_texts/1120.txt;book_texts/68061.txt;book_texts/7700.txt;book_texts/2571.txt;book_texts/1342.txt;book_texts/161.txt;book_texts/696.txt;book_texts/65298.txt;book_texts/75170.txt;book_texts/66057.txt;book_texts/1135.txt;book_texts/1106.txt;book_texts/4300.txt,True,0,
319,a little princess;a midsummer nights dream;cousin pons;daniel deronda;double identity;julius caesar;lysistrata;peace;the amateurs;the bridge;the tale of genji;twelfth night;under the lilacs;youth,"burnett, frances hodgson;shakespeare, william;balzac, honorã© de;eliot, george;farrell, henry;shakespeare, william;aristophanes;aristophanes;cogan, alan;revelle, g. g.;murasaki shikibu;shakespeare, william;alcott, louisa may;asimov, isaac",14,3.0;3.0;3.0;3.0;4.0;2.0;3.0;4.0;4.0;4.0;2.0;3.0;5.0;4.0,book_texts/146.txt;book_texts/1113.txt;book_texts/1856.txt;book_texts/7469.txt;book_texts/65282.txt;book_texts/1120.txt;book_texts/7700.txt;book_texts/2571.txt;book_texts/51081.txt;book_texts/60303.txt;book_texts/66057.txt;book_texts/1123.txt;book_texts/3795.txt;book_texts/31547.txt,True,0,
321,a tale of two cities;as you like it;carmilla;cousin pons;eight cousins;mansfield park;much ado about nothing;persuasion;phaedrus;the life and opinions of tristram shandy gentleman,"dickens, charles;shakespeare, william;le fanu, joseph sheridan;balzac, honorã© de;alcott, louisa may;austen, jane;shakespeare, william;austen, jane;plato;sterne, laurence",10,5.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;4.0;4.0,book_texts/98.txt;book_texts/1121.txt;book_texts/10007.txt;book_texts/1856.txt;book_texts/2726.txt;book_texts/141.txt;book_texts/1118.txt;book_texts/105.txt;book_texts/1636.txt;book_texts/1079.txt,True,0,
349,alcestis;cousin pons;king john;lord jim;love;pride and prejudice;sense and sensibility;the changeling;the comedy of errors;the taming of the shrew;when the sleeper wakes,"euripides;balzac, honorã© de;shakespeare, william;conrad, joseph;von arnim, elizabeth;austen, jane;austen, jane;besant, walter;shakespeare, william;shakespeare, william;wells, h. g. (herbert george)",11,5.0;4.0;5.0;5.0;4.0;5.0;5.0;4.0;3.0;3.0;4.0,book_texts/10523.txt;book_texts/1856.txt;book_texts/1110.txt;book_texts/5658.txt;book_texts/73308.txt;book_texts/1342.txt;book_texts/161.txt;book_texts/49035.txt;book_texts/1104.txt;book_texts/1107.txt;book_texts/775.txt,True,0,
364,daniel deronda;emma;empire;hamlet;the brothers karamazov;the castle of otranto;the sound and the fury;three soldiers;treasure island;wuthering heights,"eliot, george;austen, jane;simak, clifford d.;shakespeare, william;dostoyevsky, fyodor;walpole, horace;faulkner, william;dos passos, john;stevenson, robert louis;brontã«, emily",10,3.0;3.0;5.0;4.0;4.0;3.0;3.0;5.0;4.0;4.0,book_texts/7469.txt;book_texts/158.txt;book_texts/28215.txt;book_texts/1122.txt;book_texts/28054.txt;book_texts/696.txt;book_texts/75170.txt;book_texts/6362.txt;book_texts/120.txt;book_texts/768.txt,True,0,
391,anna karenina;bleak house;crime and punishment;hamlet;last call;pride and prejudice;the castle of otranto;three soldiers;treasure island,"tolstoy, leo;dickens, charles;dostoyevsky, fyodor;shakespeare, william;walton, bryce;austen, jane;walpole, horace;dos passos, john;stevenson, robert louis",9,4.0;4.0;3.0;5.0;3.0;3.0;4.0;5.0;4.0,book_texts/1399.txt;book_texts/1023.txt;book_texts/2554.txt;book_texts/1122.txt;book_texts/64015.txt;book_texts/1342.txt;book_texts/696.txt;book_texts/6362.txt;book_texts/120.txt,True,0,
405,a midsummer nights dream;a tale of two cities;emma;little women;oscar wilde;the moonstone;the tale of genji;the terror;vanity fair;wuthering heights,"shakespeare, william;dickens, charles;austen, jane;alcott, louisa may;thorne, guy;collins, wilkie;murasaki shikibu;coppel, alfred;thackeray, william makepeace;brontã«, emily",10,4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0,book_texts/1113.txt;book_texts/98.txt;book_texts/158.txt;book_texts/514.txt;book_texts/38251.txt;book_texts/155.txt;book_texts/66057.txt;book_texts/70361.txt;book_texts/599.txt;book_texts/768.txt,True,0,
410,after dark;gargoyles;lysistrata;mrs dalloway;much ado about nothing;peace;the bridge of san luis rey;three soldiers;treasure island,"collins, wilkie;hecht, ben;aristophanes;woolf, virginia;shakespeare, william;aristophanes;wilder, thornton;dos passos, john;stevenson, robert louis",9,1.0;4.0;3.0;5.0;5.0;2.0;5.0;5.0;5.0,book_texts/1626.txt;book_texts/38489.txt;book_texts/7700.txt;book_texts/71865.txt;book_texts/1118.txt;book_texts/2571.txt;book_texts/69768.txt;book_texts/6362.txt;book_texts/120.txt,True,0,
415,anna karenina;boyhood;little women;night of the living dead;robin hood;the custom of the country;the merry adventures of robin hood;the woman in white,"tolstoy, leo;tolstoy, leo;alcott, louisa may;romero, george a.;creswick, paul;wharton, edith;pyle, howard;collins, wilkie",8,4.0;3.0;4.0;3.0;4.333333333333333;4.0;3.0;3.0,book_texts/1399.txt;book_texts/2450.txt;book_texts/514.txt;book_texts/23053.txt;book_texts/28700.txt;book_texts/11052.txt;book_texts/964.txt;book_texts/583.txt,True,0,
427,a midsummer nights dream;anna karenina;east of eden;emma;ethan frome;lord jim;main street;the awakening;the blue flower;the brothers karamazov;the idiot;the secret garden;the tale of genji;the terror;the valkyries;the wind in the willows;vanity fair;wuthering heights,"shakespeare, william;tolstoy, leo;glenn, isa;austen, jane;wharton, edith;conrad, joseph;lewis, sinclair;bordeaux, henry;van dyke, henry;dostoyevsky, fyodor;bangs, john kendrick;burnett, frances hodgson;murasaki shikibu;coppel, alfred;benson, e. f. (edward frederic);grahame, kenneth;thackeray, william makepeace;brontã«, emily",18,4.0;5.0;4.0;4.0;4.0;5.0;3.0;3.0;4.0;5.0;5.0;4.0;4.0;5.0;4.0;4.0;4.5;4.0,book_texts/1113.txt;book_texts/1399.txt;book_texts/75781.txt;book_texts/158.txt;book_texts/4517.txt;book_texts/5658.txt;book_texts/543.txt;book_texts/70440.txt;book_texts/1603.txt;book_texts/28054.txt;book_texts/18881.txt;book_texts/113.txt;book_texts/66057.txt;book_texts/70361.txt;book_texts/46119.txt;book_texts/289.txt;book_texts/599.txt;book_texts/768.txt,True,0,
469,a portrait of the artist as a young man;giants in the earth;the man who would be king;the moonstone;the picture of dorian gray;the republic;the terror;the winters tale;wuthering heights,"joyce, james;rã¸lvaag, o. e. (ole edvart);kipling, rudyard;collins, wilkie;wilde, oscar;plato;coppel, alfred;shakespeare, william;brontã«, emily",9,4.0;5.0;4.0;5.0;5.0;4.0;5.0;5.0;5.0,book_texts/4217.txt;book_texts/75491.txt;book_texts/8147.txt;book_texts/155.txt;book_texts/174.txt;book_texts/1497.txt;book_texts/70361.txt;book_texts/1134.txt;book_texts/768.txt,True,0,
475,anna karenina;billy budd;cyrano de bergerac;emma;lord jim;main street;sense and sensibility;the woman in white;vanity fair;wuthering heights,"tolstoy, leo;melville, herman;rostand, edmond;austen, jane;conrad, joseph;lewis, sinclair;austen, jane;collins, wilkie;thackeray, william makepeace;brontã«, emily",10,3.5;4.0;3.5;4.0;5.0;4.0;4.0;3.0;4.0;4.5,book_texts/1399.txt;book_texts/76513.txt;book_texts/1254.txt;book_texts/158.txt;book_texts/5658.txt;book_texts/543.txt;book_texts/161.txt;book_texts/583.txt;book_texts/599.txt;book_texts/768.txt,True,0,
492,alcestis;emma;memoirs;sanctuary;the hound of the baskervilles;the monster men;the prince and the pauper;treasure island;twelfth night;wuthering heights,"euripides;austen, jane;leland, charles godfrey;wharton, edith;doyle, arthur conan;burroughs, edgar rice;twain, mark;stevenson, robert louis;shakespeare, william;brontã«, emily",10,4.0;5.0;3.0;5.0;4.0;1.0;3.0;4.0;4.0;3.0,book_texts/10523.txt;book_texts/158.txt;book_texts/22030.txt;book_texts/7517.txt;book_texts/2852.txt;book_texts/96.txt;book_texts/1837.txt;book_texts/120.txt;book_texts/1123.txt;book_texts/768.txt,True,0,
495,a midsummer nights dream;alcestis;king richard iii;much ado about nothing;pride and prejudice;slow burn;tales from shakespeare;the idiot;the tunnel;treasure island;twelfth night,"shakespeare, william;euripides;shakespeare, william;shakespeare, william;austen, jane;still, henry;lamb, charles;bangs, john kendrick;richardson, dorothy m. (dorothy miller);stevenson, robert louis;shakespeare, william",11,5.0;5.0;4.0;5.0;5.0;2.0;5.0;4.5;5.0;3.0;5.0,book_texts/1113.txt;book_texts/10523.txt;book_texts/1103.txt;book_texts/1118.txt;book_texts/1342.txt;book_texts/59345.txt;book_texts/573.txt;book_texts/18881.txt;book_texts/56447.txt;book_texts/120.txt;book_texts/1123.txt,True,0,
501,a midsummer nights dream;hunger;india;lysistrata;metamorphosis;othello;peace;the moonstone;the plague;the sun also rises;the tunnel;the turn of the screw,"shakespeare, william;hamsun, knut;southworth, emma dorothy eliza nevitte;aristophanes;de vet, charles v.;shakespeare, william;aristophanes;collins, wilkie;keller, teddy;hemingway, ernest;richardson, dorothy m. (dorothy miller);james, henry",12,5.0;5.0;4.0;5.0;5.0;5.0;5.0;4.0;4.0;5.0;5.0;5.0,book_texts/1113.txt;book_texts/8387.txt;book_texts/70476.txt;book_texts/7700.txt;book_texts/51713.txt;book_texts/1127.txt;book_texts/2571.txt;book_texts/155.txt;book_texts/30062.txt;book_texts/67138.txt;book_texts/56447.txt;book_texts/209.txt,True,0,
506,anna karenina;othello;pride and prejudice;the blue flower;the brothers karamazov;the idiot;the tale of genji;the terror;vanity fair;wuthering heights,"tolstoy, leo;shakespeare, william;austen, jane;van dyke, henry;dostoyevsky, fyodor;bangs, john kendrick;murasaki shikibu;coppel, alfred;thackeray, william makepeace;brontã«, emily",10,4.0;4.0;4.333333333333333;4.0;4.0;5.0;4.0;4.0;4.0;4.0,book_texts/1399.txt;book_texts/1127.txt;book_texts/1342.txt;book_texts/1603.txt;book_texts/28054.txt;book_texts/18881.txt;book_texts/66057.txt;book_texts/70361.txt;book_texts/599.txt;book_texts/768.txt,True,0,
508,anna karenina;emma;howards end;hunger;metamorphosis;othello;persuasion;the picture of dorian gray;the sun also rises;victoria,"tolstoy, leo;austen, jane;forster, e. m. (edward morgan);hamsun, knut;de vet, charles v.;shakespeare, william;austen, jane;wilde, oscar;hemingway, ernest;hamsun, knut",10,4.0;5.0;4.0;4.0;4.0;4.0;5.0;4.0;3.0;3.0,book_texts/1399.txt;book_texts/158.txt;book_texts/2891.txt;book_texts/8387.txt;book_texts/51713.txt;book_texts/1127.txt;book_texts/105.txt;book_texts/174.txt;book_texts/67138.txt;book_texts/74458.txt,True,0,
512,a midsummer nights dream;anna karenina;daniel deronda;emma;julius caesar;northanger abbey;persuasion;the brothers karamazov;the castle of otranto;the mysteries of udolpho;the sun also rises;the tale of genji;the terror;the wind in the willows;twelfth night;vanity fair;villette;where angels fear to tread;wuthering heights,"shakespeare, william;tolstoy, leo;eliot, george;austen, jane;shakespeare, william;austen, jane;austen, jane;dostoyevsky, fyodor;walpole, horace;radcliffe, ann ward;hemingway, ernest;murasaki shikibu;coppel, alfred;grahame, kenneth;shakespeare, william;thackeray, william makepeace;brontã«, charlotte;forster, e. m. (edward morgan);brontã«, emily",19,3.0;3.0;4.0;4.0;4.0;3.0;5.0;4.0;3.0;2.0;3.0;3.0;3.0;4.0;4.0;3.0;4.0;3.0;4.5,book_texts/1113.txt;book_texts/1399.txt;book_texts/7469.txt;book_texts/158.txt;book_texts/1120.txt;book_texts/121.txt;book_texts/105.txt;book_texts/28054.txt;book_texts/696.txt;book_texts/3268.txt;book_texts/67138.txt;book_texts/66057.txt;book_texts/70361.txt;book_texts/289.txt;book_texts/1123.txt;book_texts/599.txt;book_texts/9182.txt;book_texts/2948.txt;book_texts/768.txt,True,0,
577,a midsummer nights dream;a tale of two cities;lysistrata;mans best friend;much ado about nothing;peace;the castle of otranto;the tale of genji;the turn of the screw;treasure island,"shakespeare, william;dickens, charles;aristophanes;smith, evelyn e.;shakespeare, william;aristophanes;walpole, horace;murasaki shikibu;james, henry;stevenson, robert louis",10,4.0;5.0;4.0;5.0;4.0;4.0;1.0;3.0;4.0;4.0,book_texts/1113.txt;book_texts/98.txt;book_texts/7700.txt;book_texts/51050.txt;book_texts/1118.txt;book_texts/2571.txt;book_texts/696.txt;book_texts/66057.txt;book_texts/209.txt;book_texts/120.txt,True,0,
586,a midsummer nights dream;emma;lysistrata;much ado about nothing;peace;the brothers karamazov;the freaks of mayfair;the tale of genji;treasure island,"shakespeare, william;austen, jane;aristophanes;shakespeare, william;aristophanes;dostoyevsky, fyodor;benson, e. f. (edward frederic);murasaki shikibu;stevenson, robert louis",9,3.0;4.0;2.0;3.0;2.0;4.0;2.0;2.0;3.0,book_texts/1113.txt;book_texts/158.txt;book_texts/7700.txt;book_texts/1118.txt;book_texts/2571.txt;book_texts/28054.txt;book_texts/57006.txt;book_texts/66057.txt;book_texts/120.txt,True,0,
593,anna karenina;hunger;kim;metamorphosis;othello;the idiot;the sun also rises;twelfth night;victoria,"tolstoy, leo;hamsun, knut;kipling, rudyard;de vet, charles v.;shakespeare, william;bangs, john kendrick;hemingway, ernest;shakespeare, william;hamsun, knut",9,4.0;3.0;4.0;3.0;4.0;4.0;4.0;4.0;3.0,book_texts/1399.txt;book_texts/8387.txt;book_texts/2226.txt;book_texts/51713.txt;book_texts/1127.txt;book_texts/18881.txt;book_texts/67138.txt;book_texts/1123.txt;book_texts/74458.txt,True,0,
